customer_id,initial_debt,initial_days_overdue,payment_history_score,persona
1064,2846.45,51,2,Güçlükte
1065,1936.14,86,4,Güçlükte
1066,944.58,11,10,Unutkan
1067,4594.61,34,7,Sıkıntıda
1068,1656.22,36,5,Sıkıntıda
1069,3672.12,78,2,Güçlükte
1070,3246.68,36,6,Sıkıntıda
1071,8118.86,72,3,Güçlükte
1072,7214.08,86,2,Güçlükte
1073,2233.57,21,6,Sıkıntıda
1074,128.3,10,8,Unutkan
1075,1007.35,44,6,Sıkıntıda
1076,791.84,10,9,Unutkan
1077,2872.38,55,1,Güçlükte
1078,730.31,7,8,Unutkan
1079,231.54,6,10,Unutkan
1080,3292.85,32,7,Sıkıntıda
1081,674.93,38,6,Sıkıntıda
1082,1716.59,27,6,Dijital_Olmayan
1083,416.74,17,7,Dijital_Olmayan
1084,109.28,13,10,Unutkan
1085,5723.76,42,1,Güçlükte
1086,1871.33,13,8,Dijital_Olmayan
1087,948.32,14,9,Unutkan
1088,2685.51,27,5,Sıkıntıda
1089,907.82,13,9,Unutkan
1090,4810.06,24,6,Sıkıntıda
1091,4447.81,31,5,Sıkıntıda
1092,247.73,16,8,Dijital_Olmayan
1093,7721.62,63,1,Güçlükte
1094,891.67,6,9,Unutkan
1095,324.38,6,9,Unutkan
1096,219.33,5,9,Unutkan
1097,4080.43,22,7,Sıkıntıda
1098,876.09,6,8,Unutkan
1099,752.68,14,9,Unutkan
1100,366.82,29,7,Dijital_Olmayan
1101,1094.36,12,6,Dijital_Olmayan
1102,137.76,9,8,Unutkan
1103,896.31,6,8,Unutkan
1104,1466.9,19,6,Dijital_Olmayan
1105,9503.95,38,4,Güçlükte
1106,889.45,5,10,Unutkan
1107,926.94,18,9,Unutkan
1108,941.43,7,10,Unutkan
1109,4746.93,61,4,Güçlükte
1110,3929.45,26,7,Sıkıntıda
1111,900.49,24,7,Dijital_Olmayan
1112,464.16,19,10,Unutkan
1113,605.09,13,8,Unutkan
1114,238.84,16,10,Unutkan
1115,1208.09,46,3,Güçlükte
1116,2512.98,59,2,Güçlükte
1117,120.02,7,9,Unutkan
1118,422.62,6,10,Unutkan
1119,325.62,6,9,Unutkan
1120,955.36,5,10,Unutkan
1121,232.21,17,8,Unutkan
1122,290.47,18,9,Unutkan
1123,2896.97,34,6,Sıkıntıda
1124,7508.41,72,3,Güçlükte
1125,896.09,44,2,Güçlükte
1126,470.2,16,10,Unutkan
1127,3751.16,21,7,Sıkıntıda
1128,1737.52,13,8,Dijital_Olmayan
1129,4149.3,85,2,Güçlükte
1130,840.25,39,5,Sıkıntıda
1131,689.63,14,8,Unutkan
1132,8856.82,87,3,Güçlükte
1133,626.24,22,8,Dijital_Olmayan
1134,633.03,17,6,Dijital_Olmayan
1135,3647.76,41,5,Sıkıntıda
1136,750.72,5,9,Unutkan
1137,6356.23,55,3,Güçlükte
1138,1023.92,61,1,Güçlükte
1139,923.02,18,9,Unutkan
1140,703.47,27,7,Dijital_Olmayan
1141,3332.05,30,6,Sıkıntıda
1142,3879.85,16,5,Sıkıntıda
1143,8849.41,77,4,Güçlükte
1144,9898.31,57,3,Güçlükte
1145,965.53,27,6,Dijital_Olmayan
1146,4068.42,86,2,Güçlükte
1147,7566.42,69,1,Güçlükte
1148,857.61,10,10,Unutkan
1149,991.84,19,6,Dijital_Olmayan
1150,358.28,11,8,Unutkan
1151,2466.69,20,6,Sıkıntıda
1152,4083.85,34,6,Sıkıntıda
1153,448.75,7,8,Unutkan
1154,9703.41,68,3,Güçlükte
1155,336.32,11,9,Unutkan
1156,3983.54,36,5,Sıkıntıda
1157,587.94,10,10,Unutkan
1158,7985.01,72,2,Güçlükte
1159,946.83,9,8,Unutkan
1160,5875.01,85,2,Güçlükte
1161,355.17,7,9,Unutkan
1162,692.06,14,8,Unutkan
1163,7735.09,51,4,Güçlükte
1164,658.79,19,9,Unutkan
1165,2781.2,29,7,Sıkıntıda
1166,9047.17,55,1,Güçlükte
1167,9539.11,65,3,Güçlükte
1168,4694.16,15,6,Sıkıntıda
1169,935.39,12,9,Unutkan
1170,2678.02,19,7,Sıkıntıda
1171,112.71,14,10,Unutkan
1172,325.36,12,10,Unutkan
1173,197.33,8,8,Unutkan
1174,3892.45,16,6,Sıkıntıda
1175,611.0,8,9,Unutkan
1176,1759.15,46,4,Güçlükte
1177,1985.85,26,7,Dijital_Olmayan
1178,9728.91,59,4,Güçlükte
1179,1106.76,29,6,Sıkıntıda
1180,722.18,13,10,Unutkan
1181,7765.14,74,1,Güçlükte
1182,922.09,8,9,Unutkan
1183,4336.4,82,2,Güçlükte
1184,498.57,10,9,Unutkan
1185,755.05,13,9,Unutkan
1186,621.29,10,9,Unutkan
1187,9535.94,76,3,Güçlükte
1188,913.99,19,8,Unutkan
1189,833.82,18,8,Unutkan
1190,5066.58,35,2,Güçlükte
1191,330.84,9,9,Unutkan
1192,370.12,19,8,Unutkan
1193,1231.96,79,1,Güçlükte
1194,1033.41,16,7,Dijital_Olmayan
1195,2025.35,58,2,Güçlükte
1196,4681.3,36,5,Sıkıntıda
1197,351.69,18,9,Unutkan
1198,890.82,58,3,Güçlükte
1199,889.85,8,10,Unutkan
1200,1942.11,67,4,Güçlükte
1201,6705.77,37,4,Güçlükte
1202,3106.2,50,2,Güçlükte
1203,735.41,29,7,Sıkıntıda
1204,542.91,16,8,Unutkan
1205,6235.77,62,3,Güçlükte
1206,5942.94,40,4,Güçlükte
1207,3251.91,40,7,Sıkıntıda
1208,972.02,8,8,Unutkan
1209,573.36,34,6,Sıkıntıda
1210,116.55,18,10,Unutkan
1211,4669.91,31,7,Sıkıntıda
1212,4150.46,29,7,Sıkıntıda
1213,209.59,16,10,Unutkan
1214,248.13,18,8,Unutkan
1215,1959.07,30,6,Sıkıntıda
1216,3291.53,43,7,Sıkıntıda
1217,3496.04,58,3,Güçlükte
1218,4480.73,42,5,Sıkıntıda
1219,8004.82,59,1,Güçlükte
1220,2523.04,41,1,Güçlükte
1221,4352.1,34,7,Sıkıntıda
1222,270.5,10,9,Unutkan
1223,3872.57,36,7,Sıkıntıda
1224,689.33,14,10,Unutkan
1225,923.54,7,9,Unutkan
1226,983.7,20,6,Sıkıntıda
1227,3523.47,69,2,Güçlükte
1228,1656.94,20,7,Dijital_Olmayan
1229,1121.6,35,5,Sıkıntıda
1230,2784.96,17,6,Sıkıntıda
1231,678.02,21,6,Dijital_Olmayan
1232,132.54,12,10,Unutkan
1233,564.65,19,8,Unutkan
1234,922.5,12,8,Dijital_Olmayan
1235,1060.86,19,8,Dijital_Olmayan
1236,2067.82,25,6,Sıkıntıda
1237,1516.8,13,8,Dijital_Olmayan
1238,1405.39,29,7,Sıkıntıda
1239,444.18,12,8,Unutkan
1240,2603.84,18,7,Sıkıntıda
1241,906.09,5,10,Unutkan
1242,704.3,19,7,Sıkıntıda
1243,997.47,9,10,Unutkan
1244,1018.45,11,8,Dijital_Olmayan
1245,3949.15,29,7,Sıkıntıda
1246,269.57,11,8,Unutkan
1247,969.1,6,10,Unutkan
1248,776.4,13,8,Dijital_Olmayan
1249,424.18,19,10,Unutkan
1250,946.41,17,8,Unutkan
1251,1924.42,43,7,Sıkıntıda
1252,1509.88,31,1,Güçlükte
1253,1277.75,19,6,Dijital_Olmayan
1254,932.5,16,6,Dijital_Olmayan
1255,3339.49,30,3,Güçlükte
1256,9828.33,50,4,Güçlükte
1257,1148.09,17,6,Sıkıntıda
1258,339.4,18,10,Unutkan
1259,4252.14,33,7,Sıkıntıda
1260,1041.38,72,2,Güçlükte
1261,629.54,19,8,Unutkan
1262,562.9,10,10,Unutkan
1263,478.72,17,9,Unutkan
1264,4620.53,31,6,Sıkıntıda
1265,2304.36,18,7,Sıkıntıda
1266,7257.56,55,4,Güçlükte
1267,724.17,8,8,Unutkan
1268,3626.85,15,5,Sıkıntıda
1269,523.27,12,9,Unutkan
1270,425.28,10,10,Unutkan
1271,553.0,9,9,Unutkan
1272,2659.82,35,5,Sıkıntıda
1273,8956.58,61,2,Güçlükte
1274,611.63,18,9,Unutkan
1275,1704.41,22,6,Sıkıntıda
1276,3772.61,19,6,Sıkıntıda
1277,1950.19,35,6,Sıkıntıda
1278,2974.65,20,7,Sıkıntıda
1279,6716.7,37,3,Güçlükte
1280,4570.61,44,5,Sıkıntıda
1281,4606.92,43,4,Güçlükte
1282,427.39,16,8,Dijital_Olmayan
1283,382.07,14,10,Unutkan
1284,195.18,6,10,Unutkan
1285,704.75,33,5,Sıkıntıda
1286,1586.19,26,7,Sıkıntıda
1287,633.17,16,10,Unutkan
1288,177.79,12,9,Unutkan
1289,633.5,10,10,Unutkan
1290,294.8,8,9,Unutkan
1291,9688.86,37,1,Güçlükte
1292,194.78,12,6,Dijital_Olmayan
1293,367.8,17,9,Unutkan
1294,777.72,43,1,Güçlükte
1295,8396.38,31,4,Güçlükte
1296,454.98,27,7,Dijital_Olmayan
1297,201.46,11,10,Unutkan
1298,941.97,11,9,Unutkan
1299,514.31,14,10,Unutkan
1300,725.65,8,10,Unutkan
1301,1387.67,36,5,Sıkıntıda
1302,681.5,29,7,Sıkıntıda
1303,1781.09,29,7,Sıkıntıda
1304,2889.84,41,7,Sıkıntıda
1305,604.1,12,7,Dijital_Olmayan
1306,3481.99,43,5,Sıkıntıda
1307,838.0,28,8,Dijital_Olmayan
1308,956.5,6,10,Unutkan
1309,958.68,16,8,Unutkan
1310,1807.54,33,4,Güçlükte
1311,1035.04,12,6,Dijital_Olmayan
1312,548.78,8,10,Unutkan
1313,6236.9,86,3,Güçlükte
1314,1799.67,21,7,Dijital_Olmayan
1315,3528.28,30,5,Sıkıntıda
1316,747.84,10,8,Unutkan
1317,1286.43,27,7,Dijital_Olmayan
1318,426.33,8,9,Unutkan
1319,2448.19,36,7,Sıkıntıda
1320,3023.29,16,6,Sıkıntıda
1321,317.98,12,10,Unutkan
1322,1290.68,41,7,Sıkıntıda
1323,1439.33,16,7,Sıkıntıda
1324,1123.57,25,5,Sıkıntıda
1325,1677.52,27,5,Sıkıntıda
1326,1518.29,41,7,Sıkıntıda
1327,2704.88,27,7,Sıkıntıda
1328,261.31,38,2,Güçlükte
1329,877.6,13,8,Unutkan
1330,4159.7,27,7,Sıkıntıda
1331,4844.42,78,3,Güçlükte
1332,561.17,27,6,Dijital_Olmayan
1333,357.3,13,9,Unutkan
1334,4971.8,86,1,Güçlükte
1335,310.96,10,9,Unutkan
1336,387.02,19,8,Unutkan
1337,761.62,10,10,Unutkan
1338,4573.81,44,6,Sıkıntıda
1339,2923.7,79,2,Güçlükte
1340,9737.07,69,3,Güçlükte
1341,5573.61,57,4,Güçlükte
1342,1285.12,17,6,Sıkıntıda
1343,4984.42,68,2,Güçlükte
1344,293.01,25,8,Dijital_Olmayan
1345,3994.18,39,5,Sıkıntıda
1346,889.39,12,10,Unutkan
1347,673.93,18,9,Unutkan
1348,4216.2,16,6,Sıkıntıda
1349,633.02,11,8,Unutkan
1350,925.11,12,8,Dijital_Olmayan
1351,2404.7,31,5,Sıkıntıda
1352,4543.71,31,7,Sıkıntıda
1353,329.91,15,10,Unutkan
1354,1369.73,24,5,Sıkıntıda
1355,1306.03,27,6,Sıkıntıda
1356,754.9,44,3,Güçlükte
1357,436.24,19,9,Unutkan
1358,1290.05,29,6,Dijital_Olmayan
1359,6544.22,54,3,Güçlükte
1360,211.58,12,10,Unutkan
1361,1971.59,21,6,Dijital_Olmayan
1362,571.08,32,6,Sıkıntıda
1363,2032.62,34,6,Sıkıntıda
1364,321.7,69,4,Güçlükte
1365,2042.35,39,6,Sıkıntıda
1366,808.37,18,5,Sıkıntıda
1367,3897.34,37,6,Sıkıntıda
1368,658.01,10,8,Unutkan
1369,9462.93,62,4,Güçlükte
1370,945.6,19,9,Unutkan
1371,2652.21,29,5,Sıkıntıda
1372,8089.9,61,4,Güçlükte
1373,4039.06,36,6,Sıkıntıda
1374,487.97,17,8,Unutkan
1375,612.2,43,7,Sıkıntıda
1376,3952.17,43,4,Güçlükte
1377,526.29,7,9,Unutkan
1378,1078.6,44,7,Sıkıntıda
1379,2369.64,24,5,Sıkıntıda
1380,3236.37,16,7,Sıkıntıda
1381,1610.72,38,5,Sıkıntıda
1382,435.63,15,10,Unutkan
1383,457.92,14,8,Unutkan
1384,8614.11,61,3,Güçlükte
1385,2385.91,82,3,Güçlükte
1386,8371.45,32,3,Güçlükte
1387,2923.99,28,6,Sıkıntıda
1388,144.78,12,8,Unutkan
1389,3454.05,42,7,Sıkıntıda
1390,4459.24,31,4,Güçlükte
1391,785.35,18,9,Unutkan
1392,369.41,15,7,Dijital_Olmayan
1393,728.11,24,7,Sıkıntıda
1394,769.41,26,6,Sıkıntıda
1395,155.59,15,10,Unutkan
1396,2183.34,25,5,Sıkıntıda
1397,2357.73,24,6,Sıkıntıda
1398,864.45,17,9,Unutkan
1399,807.4,8,8,Unutkan
1400,1075.02,13,7,Dijital_Olmayan
1401,918.78,10,8,Unutkan
1402,2675.78,26,5,Sıkıntıda
1403,4699.83,71,3,Güçlükte
1404,4236.46,29,7,Sıkıntıda
1405,3655.77,35,7,Sıkıntıda
1406,4108.51,39,6,Sıkıntıda
1407,299.95,12,8,Unutkan
1408,958.62,6,8,Unutkan
1409,3399.83,31,5,Sıkıntıda
1410,9937.31,54,2,Güçlükte
1411,3567.46,41,6,Sıkıntıda
1412,1452.29,17,5,Sıkıntıda
1413,4849.76,26,7,Sıkıntıda
1414,605.74,10,10,Unutkan
1415,178.72,6,8,Unutkan
1416,2303.41,21,5,Sıkıntıda
1417,182.18,8,10,Unutkan
1418,2024.25,24,7,Sıkıntıda
1419,4241.93,44,6,Sıkıntıda
1420,134.15,14,10,Unutkan
1421,248.03,16,9,Unutkan
1422,3065.95,24,5,Sıkıntıda
1423,331.57,14,8,Unutkan
1424,1420.6,16,5,Sıkıntıda
1425,4756.94,62,3,Güçlükte
1426,696.69,17,8,Unutkan
1427,1534.88,36,7,Sıkıntıda
1428,2871.22,35,7,Sıkıntıda
1429,666.83,15,9,Unutkan
1430,1424.5,32,7,Sıkıntıda
1431,600.94,19,8,Unutkan
1432,4859.73,39,5,Sıkıntıda
1433,1879.08,38,5,Sıkıntıda
1434,3925.05,37,7,Sıkıntıda
1435,597.42,8,9,Unutkan
1436,163.56,15,10,Unutkan
1437,1469.04,27,6,Dijital_Olmayan
1438,423.0,11,9,Unutkan
1439,4680.42,31,7,Sıkıntıda
1440,4476.51,39,1,Güçlükte
1441,703.48,12,8,Unutkan
1442,1653.21,34,5,Sıkıntıda
1443,4736.13,37,6,Sıkıntıda
1444,167.22,8,8,Unutkan
1445,214.78,10,10,Unutkan
1446,839.77,5,10,Unutkan
1447,869.68,10,9,Unutkan
1448,4137.83,40,5,Sıkıntıda
1449,1547.85,10,6,Dijital_Olmayan
1450,5141.9,50,1,Güçlükte
1451,1763.68,28,7,Dijital_Olmayan
1452,2145.29,35,7,Sıkıntıda
1453,187.41,8,8,Unutkan
1454,129.17,18,9,Unutkan
1455,751.34,23,6,Dijital_Olmayan
1456,787.72,13,9,Unutkan
1457,1951.36,14,8,Dijital_Olmayan
1458,237.95,14,8,Unutkan
1459,168.1,22,7,Dijital_Olmayan
1460,847.25,11,8,Unutkan
1461,7216.74,35,3,Güçlükte
1462,239.71,14,9,Unutkan
1463,4228.33,43,6,Sıkıntıda
1464,1139.75,15,6,Sıkıntıda
1465,1652.34,43,7,Sıkıntıda
1466,5028.3,55,2,Güçlükte
1467,5735.41,84,2,Güçlükte
1468,350.46,14,10,Unutkan
1469,4370.17,32,5,Sıkıntıda
1470,1462.99,12,6,Dijital_Olmayan
1471,4975.58,26,7,Sıkıntıda
1472,4454.05,36,6,Sıkıntıda
1473,825.58,57,2,Güçlükte
1474,288.35,6,8,Unutkan
1475,2207.53,23,6,Sıkıntıda
1476,1704.19,83,4,Güçlükte
1477,2289.39,78,1,Güçlükte
1478,325.42,8,10,Unutkan
1479,4306.34,29,7,Sıkıntıda
1480,3466.18,34,6,Sıkıntıda
1481,4671.78,19,7,Sıkıntıda
1482,307.06,18,10,Unutkan
1483,8997.43,32,2,Güçlükte
1484,730.29,5,9,Unutkan
1485,3468.66,84,2,Güçlükte
1486,905.78,12,8,Unutkan
1487,1965.97,16,6,Dijital_Olmayan
1488,207.76,11,9,Unutkan
1489,1336.6,36,5,Sıkıntıda
1490,3639.95,56,4,Güçlükte
1491,4989.95,56,2,Güçlükte
1492,231.66,26,6,Dijital_Olmayan
1493,679.81,8,10,Unutkan
1494,185.26,19,8,Unutkan
1495,777.19,10,10,Unutkan
1496,1457.25,88,4,Güçlükte
1497,917.13,7,8,Unutkan
1498,3703.29,39,7,Sıkıntıda
1499,1951.51,44,4,Güçlükte
1500,373.67,18,8,Unutkan
1501,8984.79,52,1,Güçlükte
1502,6286.78,48,2,Güçlükte
1503,260.25,6,10,Unutkan
1504,2669.98,24,6,Sıkıntıda
1505,1993.34,44,5,Sıkıntıda
1506,2721.22,56,1,Güçlükte
1507,1362.06,31,7,Sıkıntıda
1508,8819.68,32,1,Güçlükte
1509,3649.25,20,7,Sıkıntıda
1510,2281.53,33,6,Sıkıntıda
1511,773.22,20,7,Dijital_Olmayan
1512,3660.74,56,1,Güçlükte
1513,1205.97,26,8,Dijital_Olmayan
1514,1197.0,27,7,Dijital_Olmayan
1515,3009.14,17,7,Sıkıntıda
1516,1182.25,21,7,Sıkıntıda
1517,966.89,6,10,Unutkan
1518,4854.04,24,6,Sıkıntıda
1519,126.85,12,10,Unutkan
1520,962.26,8,8,Unutkan
1521,4126.67,28,5,Sıkıntıda
1522,3220.81,42,6,Sıkıntıda
1523,230.16,15,10,Unutkan
1524,259.48,17,9,Unutkan
1525,3017.11,84,2,Güçlükte
1526,3103.52,61,1,Güçlükte
1527,4915.46,21,5,Sıkıntıda
1528,3712.86,19,6,Sıkıntıda
1529,1237.53,10,8,Dijital_Olmayan
1530,151.83,16,9,Unutkan
1531,4543.6,43,2,Güçlükte
1532,884.47,10,9,Unutkan
1533,252.56,18,8,Unutkan
1534,720.05,60,2,Güçlükte
1535,758.34,18,10,Unutkan
1536,832.84,29,6,Dijital_Olmayan
1537,106.98,8,9,Unutkan
1538,1824.85,27,8,Dijital_Olmayan
1539,1785.95,15,6,Sıkıntıda
1540,748.01,5,9,Unutkan
1541,2350.33,19,7,Sıkıntıda
1542,4981.68,72,3,Güçlükte
1543,2609.86,18,7,Sıkıntıda
1544,658.29,37,5,Sıkıntıda
1545,497.87,19,10,Unutkan
1546,4167.51,22,7,Sıkıntıda
1547,3585.67,16,6,Sıkıntıda
1548,567.68,17,6,Dijital_Olmayan
1549,814.45,6,9,Unutkan
1550,504.26,32,5,Sıkıntıda
1551,826.38,18,8,Unutkan
1552,316.06,7,10,Unutkan
1553,103.64,13,9,Unutkan
1554,2201.95,23,5,Sıkıntıda
1555,9510.23,44,4,Güçlükte
1556,683.9,11,8,Unutkan
1557,1617.75,22,7,Dijital_Olmayan
1558,1774.43,15,5,Sıkıntıda
1559,752.37,18,8,Unutkan
1560,859.85,55,4,Güçlükte
1561,696.77,41,1,Güçlükte
1562,715.85,15,10,Unutkan
1563,5303.1,40,4,Güçlükte
1564,2506.91,17,5,Sıkıntıda
1565,1330.26,19,8,Dijital_Olmayan
1566,2129.81,21,7,Sıkıntıda
1567,1062.52,16,8,Dijital_Olmayan
1568,945.53,14,10,Unutkan
1569,2358.14,42,6,Sıkıntıda
1570,7235.8,89,1,Güçlükte
1571,3904.05,37,6,Sıkıntıda
1572,1556.12,30,7,Sıkıntıda
1573,2072.13,15,6,Sıkıntıda
1574,454.47,11,8,Unutkan
1575,8396.08,39,3,Güçlükte
1576,4002.5,67,2,Güçlükte
1577,408.72,10,10,Unutkan
1578,9250.91,38,4,Güçlükte
1579,545.61,15,9,Unutkan
1580,1977.01,31,7,Sıkıntıda
1581,365.91,9,10,Unutkan
1582,824.45,16,8,Unutkan
1583,510.04,27,5,Sıkıntıda
1584,470.15,12,7,Dijital_Olmayan
1585,1459.62,24,7,Sıkıntıda
1586,421.3,16,9,Unutkan
1587,5759.71,36,3,Güçlükte
1588,353.42,11,10,Unutkan
1589,743.73,8,8,Unutkan
1590,2398.55,73,1,Güçlükte
1591,1196.91,18,8,Dijital_Olmayan
1592,261.4,13,8,Unutkan
1593,580.42,18,10,Unutkan
1594,3286.98,17,6,Sıkıntıda
1595,1036.04,25,7,Sıkıntıda
1596,1552.87,14,7,Dijital_Olmayan
1597,1485.49,27,7,Dijital_Olmayan
1598,849.86,6,9,Unutkan
1599,414.7,14,10,Unutkan
1600,4205.31,38,7,Sıkıntıda
1601,996.54,12,8,Unutkan
1602,2101.14,38,7,Sıkıntıda
1603,860.31,6,9,Unutkan
1604,3201.83,36,6,Sıkıntıda
1605,1815.32,26,6,Sıkıntıda
1606,1268.37,35,5,Sıkıntıda
1607,5049.59,47,4,Güçlükte
1608,921.65,17,8,Unutkan
1609,513.62,31,7,Sıkıntıda
1610,304.99,19,8,Unutkan
1611,3930.06,43,7,Sıkıntıda
1612,248.12,14,8,Unutkan
1613,287.0,7,10,Unutkan
1614,118.44,19,10,Unutkan
1615,671.38,12,9,Unutkan
1616,989.2,19,8,Unutkan
1617,4170.19,28,5,Sıkıntıda
1618,562.94,8,9,Unutkan
1619,2678.75,16,6,Sıkıntıda
1620,599.86,13,10,Unutkan
1621,2279.25,37,5,Sıkıntıda
1622,775.93,17,8,Unutkan
1623,864.2,9,8,Unutkan
1624,1236.54,20,7,Sıkıntıda
1625,3177.06,37,7,Sıkıntıda
1626,568.41,10,8,Unutkan
1627,3705.45,37,7,Sıkıntıda
1628,166.84,6,8,Unutkan
1629,275.22,13,9,Unutkan
1630,336.36,11,9,Unutkan
1631,1089.55,24,7,Sıkıntıda
1632,3656.52,22,6,Sıkıntıda
1633,8206.36,61,4,Güçlükte
1634,7472.36,63,2,Güçlükte
1635,5719.36,82,3,Güçlükte
1636,729.87,19,5,Sıkıntıda
1637,1341.0,16,6,Sıkıntıda
1638,1556.05,10,8,Dijital_Olmayan
1639,1375.33,28,6,Sıkıntıda
1640,252.23,7,9,Unutkan
1641,4003.11,33,7,Sıkıntıda
1642,322.92,14,10,Unutkan
1643,4034.78,61,3,Güçlükte
1644,183.35,13,8,Unutkan
1645,598.54,6,8,Unutkan
1646,836.95,14,8,Unutkan
1647,667.03,12,8,Dijital_Olmayan
1648,2268.02,18,6,Sıkıntıda
1649,369.69,18,10,Unutkan
1650,4008.09,23,7,Sıkıntıda
1651,5285.04,80,3,Güçlükte
1652,426.56,9,9,Unutkan
1653,622.51,15,7,Sıkıntıda
1654,602.63,15,8,Unutkan
1655,788.76,17,8,Dijital_Olmayan
1656,2994.59,37,6,Sıkıntıda
1657,2139.11,20,5,Sıkıntıda
1658,2498.56,15,7,Sıkıntıda
1659,942.57,10,8,Unutkan
1660,535.49,21,6,Dijital_Olmayan
1661,336.85,16,8,Unutkan
1662,2638.81,44,7,Sıkıntıda
1663,693.73,19,8,Unutkan
1664,9763.47,81,4,Güçlükte
1665,1956.31,65,1,Güçlükte
1666,9023.4,35,3,Güçlükte
1667,311.81,8,8,Unutkan
1668,466.55,11,8,Unutkan
1669,739.57,15,8,Unutkan
1670,2626.29,15,5,Sıkıntıda
1671,243.87,11,8,Unutkan
1672,1783.6,39,7,Sıkıntıda
1673,974.48,17,9,Unutkan
1674,956.38,5,9,Unutkan
1675,427.31,6,10,Unutkan
1676,2945.87,26,5,Sıkıntıda
1677,2651.14,38,7,Sıkıntıda
1678,1635.99,22,8,Dijital_Olmayan
1679,4797.94,26,7,Sıkıntıda
1680,1121.49,41,5,Sıkıntıda
1681,556.96,15,10,Unutkan
1682,2682.28,43,2,Güçlükte
1683,2276.46,44,5,Sıkıntıda
1684,3073.93,40,7,Sıkıntıda
1685,9886.25,39,1,Güçlükte
1686,961.21,11,7,Dijital_Olmayan
1687,831.39,13,10,Unutkan
1688,586.92,6,8,Unutkan
1689,2704.83,40,6,Sıkıntıda
1690,7588.92,57,4,Güçlükte
1691,806.29,18,10,Unutkan
1692,1896.59,43,5,Sıkıntıda
1693,3403.31,23,6,Sıkıntıda
1694,992.91,8,9,Unutkan
1695,4130.73,27,6,Sıkıntıda
1696,832.65,7,9,Unutkan
1697,316.16,7,9,Unutkan
1698,776.63,35,2,Güçlükte
1699,968.7,82,3,Güçlükte
1700,5492.55,44,2,Güçlükte
1701,441.11,71,4,Güçlükte
1702,4709.31,26,6,Sıkıntıda
1703,7804.76,52,1,Güçlükte
1704,278.45,18,6,Dijital_Olmayan
1705,992.08,87,2,Güçlükte
1706,3239.57,28,7,Sıkıntıda
1707,1782.81,18,6,Sıkıntıda
1708,496.26,13,8,Unutkan
1709,2636.25,36,6,Sıkıntıda
1710,690.68,18,9,Unutkan
1711,4774.56,83,3,Güçlükte
1712,881.24,14,8,Unutkan
1713,841.98,15,9,Unutkan
1714,2954.91,16,7,Sıkıntıda
1715,112.75,13,10,Unutkan
1716,721.81,18,10,Unutkan
1717,990.67,38,4,Güçlükte
1718,1836.2,17,7,Sıkıntıda
1719,3428.16,34,6,Sıkıntıda
1720,3372.4,34,6,Sıkıntıda
1721,3265.57,57,3,Güçlükte
1722,1501.33,36,5,Sıkıntıda
1723,4677.35,19,7,Sıkıntıda
1724,710.17,14,10,Unutkan
